as_input,k_b_dcas,k_b_sgrna,k_pt_dcas,k_pt_gfp,k_f_cascomplex_fw,k_f_cascomplex_rv,k_f_ascomplex_fw,k_f_ascomplex_rv,k_f_ascascomplex1_fw,k_f_ascascomplex1_rv,k_f_ascascomplex2_fw,k_f_ascascomplex2_rv,k_p_asrna,k_p_gfpmrna,k_d_dcasmrna,k_d_dcas,k_d_sgrna,k_d_cascomplex,k_d_asrna,k_d_ascomplex,k_d_ascascomplex,k_d_gfpmrna,k_d_gfp,kd_asrna,kd_dcas,n_inducer,n_cascomplex,scale,score
0.000000000000000000e+00,8.924105773656322071e+00,5.523455292255576410e+00,3.526995428141844968e+00,1.913850734533099285e+00,6.672382873412085580e+00,2.987977344106279798e+00,4.530688043133823228e+00,1.322296084927840010e+00,6.200254617216593545e+00,9.071567308116154082e-01,3.074186134511988744e+00,6.580137827257077632e+00,9.885129159902247054e+00,5.473532931651289068e+00,2.452730236038155098e+00,1.377575151960998667e+00,2.045399718057983485e+00,1.256933677820756545e-01,2.472829458693851290e+00,1.644953943548317365e+00,9.479960003592944773e+00,7.820117093168024169e+00,3.471421693142300209e-03,5.740766386221832107e+00,1.432037480657241790e+00,1.000000000000000000e+00,2.000000000000000000e+00,3.402571514251554845e+02,1.637944905047877182e+04
0.000000000000000000e+00,1.590797783302565493e+00,2.457909598832440423e+00,1.097779742394910052e+00,7.069419678655728845e+00,9.228519929157853241e+00,4.754620519331776984e-01,9.788291136653288760e+00,6.714460446103588609e+00,2.190458266698537049e+00,3.392666933325395817e+00,5.257262836512683890e-01,2.903980673150249547e+00,2.880242614795371914e+00,8.182247776956110386e+00,4.024591718963871578e+00,6.473744111684034963e-02,4.263558278702878290e+00,5.127092660575311989e-01,2.912956387031444550e+00,1.000075057555359859e+00,6.451687986135800301e+00,5.739102871983527088e+00,6.892646665179621122e-03,1.568956722517388158e+00,1.020544341296519830e-01,5.000000000000000000e+00,4.000000000000000000e+00,5.063252581922004936e+01,1.653405557007208699e+04
0.000000000000000000e+00,9.426464603670959619e+00,5.971907261868632411e+00,7.044131917668413401e+00,2.273447190416569619e+00,8.274089124863637679e+00,2.761117165332275469e+00,3.882707358792820695e+00,7.302545771529011631e+00,9.270899426611599381e+00,4.816517578841427394e+00,8.370274096448509837e+00,3.753796639911799904e+00,7.269805552866163367e+00,1.033043469784461044e+00,4.171187422004831724e+00,9.957047282047167824e-01,6.624140934280345228e+00,1.112598196738195933e+00,7.295277856251224158e+00,5.443943884934902222e+00,5.920546176242352132e+00,1.201059871642295995e+00,1.717826945807776964e-02,3.682618400755193644e+00,1.225177258460683927e+00,3.000000000000000000e+00,4.000000000000000000e+00,4.338342399515308898e+02,1.674108961779980382e+04
0.000000000000000000e+00,8.603263503650939725e+00,9.365179588028290425e+00,5.936361163358360393e+00,2.653812713772971232e+00,7.859137308391795251e+00,5.724977561642172752e+00,9.886617891256010537e+00,8.059167447890418501e-01,6.133850973906083581e+00,6.618972409508593557e+00,3.625766567741073754e+00,5.441640509680921944e+00,6.320445323183163211e+00,4.853908467306055741e+00,8.236437449685514167e-01,9.173748380268682112e+00,1.758727518579254467e-01,2.714307677803449309e-02,3.171215791430413322e+00,8.202539340920210975e+00,6.024152947247408463e+00,7.914058849280205088e+00,2.783055115756720085e-02,5.453288541084022611e+00,3.743229976233344747e+00,1.000000000000000000e+00,5.000000000000000000e+00,4.120247385941244147e+02,1.693120947636793790e+04
0.000000000000000000e+00,2.956437124297733199e+00,3.722197469725100127e+00,9.713072002658734050e+00,2.949755681604303570e-01,4.646944992408108988e+00,4.788310887712072250e-01,9.103476457629344765e+00,3.254495291812768976e+00,7.588091639115282838e+00,6.686068857593179260e-01,4.537757991424464343e+00,7.132278148175664967e+00,2.379667559779873098e+00,7.679194088319510669e+00,4.073726612415629944e+00,6.394696826970799997e+00,7.594816854945454665e+00,2.021434734086220875e+00,4.701277061510849897e+00,9.947195584322127360e+00,6.052516144615035287e+00,1.804578109318956347e+00,4.087356997425170557e-02,3.876063353091725006e+00,1.897168704027027697e-01,4.000000000000000000e+00,4.000000000000000000e+00,5.905917553148025263e+02,1.780653787369523343e+04
0.000000000000000000e+00,9.790859222951974417e+00,2.047872082761777346e+00,1.111674256030185104e+00,1.450458698182351513e+00,8.453273551117456819e+00,2.594394666596188781e+00,8.649216817108701605e+00,4.122309419196889202e+00,9.027602104850943610e-01,1.182213967862527415e+00,8.701494244303358272e+00,4.290981213076787704e+00,9.382962318312426220e+00,3.000625767385920017e+00,4.323299684174759960e+00,2.582533031462936446e+00,6.759480731281919397e+00,1.872785800206376028e-01,1.188973442454852592e+00,4.126241425089248516e+00,1.606869471898574320e+00,5.864622708317972943e+00,3.533836086578754504e-02,3.968704662400207361e+00,1.219846820102997026e-01,1.000000000000000000e+00,2.000000000000000000e+00,6.802568316201508196e+02,1.839763502448487998e+04
0.000000000000000000e+00,6.137921365437645216e-01,8.198064932433586804e+00,2.799288228647961230e+00,8.300866507461549304e+00,5.342255976705012621e+00,2.355384948057777095e+00,4.638563711047967608e+00,9.944558928333900594e-02,9.179017473329183829e+00,4.160099600223705174e+00,9.515038392792360966e+00,6.445775944474036123e+00,7.667261557637814029e+00,1.314289755721475883e+00,3.864308201969168244e-01,3.245929400670358511e+00,1.412130775097906632e+00,1.397932485587518814e+00,7.495432022943362860e+00,8.690734171075510162e+00,1.137879978211715271e+00,6.572365184194789656e+00,9.614300763748287806e-03,2.793479904518183954e+00,1.902406123204462840e-01,5.000000000000000000e+00,3.000000000000000000e+00,2.716362550704486125e+02,1.905406478578828683e+04
0.000000000000000000e+00,8.576246090298623059e+00,8.670979229113308762e+00,9.199875486473606756e+00,3.643954481310636151e+00,5.378466425593638967e+00,9.238750799794583912e+00,5.618531043747248432e+00,7.520340954092070263e+00,4.717571387645297598e+00,5.576419807165276410e+00,5.659943379836133381e+00,2.809951513164461012e+00,5.113407695811846843e+00,8.757565055503354401e+00,4.017721450172651920e+00,1.276744103519606099e+00,6.880669873549501325e+00,2.457784648674272432e-01,1.740892072777402655e+00,1.961612567861291234e+00,3.679384352125523172e+00,5.409235734524540540e+00,3.960886444835600567e-02,3.634303847269831245e+00,1.379577213708274908e+00,2.000000000000000000e+00,4.000000000000000000e+00,1.094334227997265856e+02,1.958443762544475976e+04
0.000000000000000000e+00,9.427572921955583496e+00,9.276304849653328688e+00,3.275230747468204084e-01,3.279826300429936836e+00,7.475199450800682044e+00,7.949398323395283406e+00,2.998092303689528837e+00,6.629814703628416517e+00,8.152991162318699025e+00,4.083939737589551200e+00,3.053967203248007523e-01,3.712317228861724772e+00,7.254716768719166708e+00,7.566849418558067031e-01,3.900975303392536730e+00,6.639937674032471149e-01,3.586140808190307006e+00,3.379278866749788612e+00,2.420011171324456090e+00,1.703265224107988474e-01,4.398967775891461152e+00,3.592492002199847878e+00,5.507789237702957058e-03,3.588917181278392210e+00,8.005097465874687346e-02,4.000000000000000000e+00,4.000000000000000000e+00,6.648412274270804119e+02,1.995270544973175129e+04
0.000000000000000000e+00,5.769815848855193607e+00,5.577819276995260367e+00,8.255867508447432002e+00,1.416272679015723179e-01,8.851626398708786425e+00,6.857109178212674294e+00,7.908349513973853995e+00,2.213786938490847511e+00,1.882452466239040056e+00,6.151195466578006865e+00,2.446857448986179406e+00,8.543397853046808876e+00,9.517685605288816575e+00,5.088583642018092768e+00,8.266478572267630387e-01,7.580218442182401262e+00,9.542574890243448182e-01,7.227811006595890930e+00,2.430541737894059029e+00,6.413175651538955080e+00,2.133339339572009052e+00,2.951660601159766251e-01,4.305565444006279052e-02,2.087234280180927826e+00,3.680270210669300268e-01,5.000000000000000000e+00,4.000000000000000000e+00,9.732440975341928606e+02,2.060805706082421602e+04
