k_b_p3,k_b_p11,k_op_succ,k_pt_lldr,k_pt_gfp,k_f_lldrcomplex,k_d_lldrmRNA,k_d_lldr,k_d_lldrcomplex,k_d_gfpmRNA,k_d_gfp,alpaga_basal,alpaga_act1,alpaga_act2,alpaga_k3,alpaga_k_act1,alpaga_k_act2,copy_nr,mumax,tc,cap,sigma,scale,score
8.624932540263637648e+00,2.275227796527052426e+00,6.753161982074600278e-01,8.922094179804332725e+00,6.009165722551413902e-01,3.183469494503704533e-01,8.107746313655011861e+00,3.805193620193233706e+00,6.187641454218779646e-01,5.150488732756462046e-02,4.534348315076626793e-03,2.067383453791059811e+00,1.139565603099427005e+00,4.626624250904133540e+00,8.510196948620494695e+00,4.211723353101024259e+01,6.765368259981052290e+01,5.000000000000000000e+00,5.212434999999999707e-01,1.041064017999999969e+01,3.336869299999999927e-01,4.265375040000000340e+00,3.249405695518636890e+02,6.908949361496535130e+05
6.493329587398555702e+00,2.928332689681388157e+00,4.952051055420687575e+00,7.452255228036401391e+00,6.034292044268164679e-01,2.182656492901689393e+00,9.649607129284534679e+00,3.884429567408829609e+00,4.918981660733122041e+00,1.744802609706845864e-01,1.353164687454620242e-02,8.832345180291277131e+00,8.713178223101833098e+00,7.139480234877889409e+00,1.659925274962751729e+01,5.975918341361665220e+00,1.819702882367559837e+01,5.000000000000000000e+00,5.212434999999999707e-01,1.041064017999999969e+01,3.336869299999999927e-01,4.265375040000000340e+00,1.810755591974441074e+02,1.261733071490362752e+06
4.482499439482354742e-01,3.792379407757636933e+00,2.654699204881976193e+00,3.336391145665016822e+00,1.774405732051297813e+00,5.801421049455059098e+00,3.938905637905055102e+00,6.941864135095149990e+00,1.569386738218493171e+00,4.548895915825014180e-01,8.911326568879775548e-03,2.401000999471280206e+00,1.230219053212936231e+00,8.122008431772702153e+00,4.667953082661142616e+01,9.526724345614688616e+01,1.211458332263600290e+01,5.000000000000000000e+00,5.212434999999999707e-01,1.041064017999999969e+01,3.336869299999999927e-01,4.265375040000000340e+00,2.125528549565135847e+02,1.270985604435899295e+06
3.884719208454549655e+00,6.684290585500879622e+00,4.724930956467085608e+00,5.662335259461269032e+00,9.753068841592865690e-01,2.697717118368765821e+00,6.682768510316911659e+00,2.575480734579025821e+00,1.658631810441021148e+00,3.682274600093625727e-01,1.732236699638001892e-03,2.524322904252320754e+00,8.324797046442210302e+00,9.387056015885267612e+00,7.672737565428016637e+01,4.933339243972131527e+01,4.335020464172431787e+01,5.000000000000000000e+00,5.212434999999999707e-01,1.041064017999999969e+01,3.336869299999999927e-01,4.265375040000000340e+00,1.769542892884877006e+02,1.297939485291509423e+06
3.189884335984712660e+00,9.706349669252652745e+00,5.797760830141296395e+00,2.835872660245750243e+00,2.043127234996696018e+00,6.246040320598312157e+00,5.323984313930096413e+00,5.500953431246013103e+00,7.278023234005607911e+00,8.172577672919414393e-01,1.632253796722581748e-03,9.342244742799001855e+00,2.770544479093556972e-02,5.375629894390171692e+00,7.528295625738941510e+01,8.055018787968212024e+00,1.254891652630395171e+01,5.000000000000000000e+00,5.212434999999999707e-01,1.041064017999999969e+01,3.336869299999999927e-01,4.265375040000000340e+00,1.472233556871886151e+02,1.330598476297945715e+06
4.703099078333048411e+00,4.877690432490991768e+00,1.385400615392721635e+00,9.971753397744464564e+00,5.932626601593122828e-01,2.116207746905044651e+00,9.279635166190450590e+00,3.204548698273403939e+00,3.159387462483928211e+00,6.202222235802434813e-02,9.125664608024398536e-03,6.532414517853323055e+00,3.102789492471019539e+00,6.662469361296635917e+00,8.580313175460736375e+01,9.606250563257304975e+01,3.879546593678704625e+01,5.000000000000000000e+00,5.212434999999999707e-01,1.041064017999999969e+01,3.336869299999999927e-01,4.265375040000000340e+00,1.514176482334721641e+02,1.345177594757880783e+06
9.760745625080032184e+00,3.442934357254881395e+00,5.892564562733583422e+00,3.202220165880018232e+00,6.882075255576081130e-01,4.705096182680147621e+00,6.266275889765089424e+00,4.545404860800272395e+00,5.736929880612255950e+00,2.836418592360465674e-01,1.250789769643776729e-02,3.272239051215902972e+00,1.729412713085009656e+00,3.917983179218116785e+00,5.829868898207002559e+01,4.735942947855473761e+01,6.029913759703512000e+01,5.000000000000000000e+00,5.212434999999999707e-01,1.041064017999999969e+01,3.336869299999999927e-01,4.265375040000000340e+00,4.336365319718175328e+02,1.346783443057768745e+06
5.984754926832398958e+00,9.774250044753472366e+00,2.067032234299993387e+00,6.656130924112451552e+00,7.315015225299148494e-01,7.316853231114285094e+00,1.923775646033718090e+00,7.948645737551840007e+00,7.375171052458979304e+00,2.711725416508621311e-01,8.573653928997797616e-03,7.235628908596801523e+00,3.107232979080914337e+00,7.912048150256012491e+00,2.040208113192464623e+01,8.346370242514817051e+01,7.926322799064776348e+01,5.000000000000000000e+00,5.212434999999999707e-01,1.041064017999999969e+01,3.336869299999999927e-01,4.265375040000000340e+00,1.491777262587165467e+02,1.486047653931015637e+06
8.785037611859008777e+00,6.840129932713846728e+00,9.266174572215055250e+00,7.701142649777890981e+00,1.460079667858092733e+00,5.417670496740348618e+00,4.042647685119685974e+00,3.002805830926236208e+00,6.463690766025095513e+00,1.312188789108678089e-01,6.981510455304909893e-03,6.518165749909503148e+00,2.906984811812692193e+00,5.450891698980384614e-01,8.881278793234923796e+01,5.926807407853388554e+01,2.001394564141120114e+01,5.000000000000000000e+00,5.212434999999999707e-01,1.041064017999999969e+01,3.336869299999999927e-01,4.265375040000000340e+00,1.655442114344889433e+02,1.492676630577883217e+06
7.624916779207429052e+00,8.152651777323608684e+00,3.820052131850531385e+00,1.641606645909345685e+00,2.531176554896750752e-01,1.537175886569054351e+00,1.201283036314765962e+00,6.268787420912522279e+00,2.592731864057735258e+00,9.018508772813414731e-02,1.651945203603669837e-02,4.498666918204822451e+00,2.418822668032218015e+00,4.925968520803659878e+00,4.004769287332297267e+01,6.807149823488832396e+01,4.329932238861110250e+01,5.000000000000000000e+00,5.212434999999999707e-01,1.041064017999999969e+01,3.336869299999999927e-01,4.265375040000000340e+00,5.434542627874812979e+02,1.514811921625523362e+06
4.558564158423224377e+00,3.998845948171351417e+00,9.600426326585836279e+00,6.708971365132200937e+00,1.349571757785287929e+00,5.023004291299785429e+00,7.547513604667218878e+00,6.206732295069092409e+00,8.008383395515194181e+00,9.558197314972051439e-02,2.332933736925043092e-02,7.496717501627231384e-01,5.546305117158293108e+00,8.962373176696837973e+00,2.857837733934832158e+01,4.453334323330552991e+01,6.625436008908836527e+01,5.000000000000000000e+00,5.212434999999999707e-01,1.041064017999999969e+01,3.336869299999999927e-01,4.265375040000000340e+00,1.175949470239053625e+02,1.515504549118623836e+06
1.175141501259162613e+00,5.845628317587968859e+00,2.363881238155272069e+00,3.213863532743283624e+00,1.899751503773456085e-01,3.361741739827680542e-01,3.372136137763046548e+00,4.113234958759172777e+00,9.090260310574214964e-02,9.127508306555640050e-02,2.566282625011492846e-02,3.945508965832195791e+00,3.673816182362152905e+00,4.346173922238373954e+00,8.824880150653739008e+01,1.161802336074941699e+01,7.159319998942004304e+01,5.000000000000000000e+00,5.212434999999999707e-01,1.041064017999999969e+01,3.336869299999999927e-01,4.265375040000000340e+00,9.750505389623199335e+02,1.530766864761305042e+06
