as_input,k_b_dcas,k_b_sgrna,k_pt_dcas,k_pt_gfp,k_f_cascomplex_fw,k_f_cascomplex_rv,k_f_ascomplex_fw,k_f_ascomplex_rv,k_f_ascascomplex1_fw,k_f_ascascomplex1_rv,k_f_ascascomplex2_fw,k_f_ascascomplex2_rv,k_p_asrna,k_p_gfpmrna,k_d_dcasmrna,k_d_dcas,k_d_sgrna,k_d_cascomplex,k_d_asrna,k_d_ascomplex,k_d_ascascomplex,k_d_gfpmrna,k_d_gfp,kd_asrna,kd_dcas,n_inducer,n_cascomplex,scale,score
0.000000000000000000e+00,7.421855552461392946e+00,4.490210130710324599e+00,6.854215972650514743e+00,6.604912121931779900e+00,9.631085937740770930e+00,8.552601570788971319e-01,3.281182785747855046e+00,7.798682606346724278e+00,6.016494446796457396e+00,1.099631461380875752e+00,6.426404134029016113e+00,1.759823644403364140e+00,7.510728359430971501e+00,6.743700400122646377e-01,2.389180996701734561e+00,5.075587609496582608e+00,1.388641267312270777e+00,1.150757287548462626e+00,5.750626545019846603e+00,1.079295914533855338e+01,5.331153734275630107e+00,3.440713053026773216e-01,2.371967964113767553e-03,7.792243725500478391e+00,1.141930254449436077e+00,1.000000000000000000e+00,4.000000000000000000e+00,1.667271187517599458e+02,1.304781041270071364e+04
0.000000000000000000e+00,9.014757124444335190e+00,1.520074241700908102e+00,5.462449663788958354e+00,8.320582173039147378e+00,4.666707507351415707e+00,1.872644865899879552e-01,9.281164470040112136e+00,8.362459677392913848e-01,5.771868945814643048e+00,4.445577892008985010e+00,6.494256347263013929e+00,6.587932673752508350e+00,6.007164176449120596e+00,1.091674063479311230e-01,8.882447550614498866e+00,9.336003673765469912e+00,1.966126986383795572e+00,1.194126508426384792e+00,5.157247154060953243e+00,1.387810491784216005e+00,8.653576411221589382e+00,2.475633289376011903e-01,4.521201335453113590e-02,7.485206402927661706e+00,1.509339233275151793e-01,2.000000000000000000e+00,3.000000000000000000e+00,8.141084188474943630e+02,1.391753377422061749e+04
0.000000000000000000e+00,7.579970997657968113e+00,5.173609841052212666e+00,2.142926754450569238e+00,5.550405318266344867e-01,2.615355767905986895e+00,8.078751564427331111e-01,7.813678942745883482e+00,7.659081485664701594e-01,7.959195683599541660e+00,7.901480047863528533e+00,4.750193954472040403e+00,8.309890936077888313e+00,7.839227583723272552e+00,5.858595261833051460e+00,4.276917836123121042e+00,6.519342126603468124e+00,1.435708827324962078e+00,9.912443360074545406e-01,3.030087503603522414e-01,4.479390363912015616e+00,5.412514735836364110e+00,1.879327595290208208e+00,1.935709747789197965e-02,8.191469493751032616e+00,2.760676116847031181e-01,2.000000000000000000e+00,3.000000000000000000e+00,4.186945057839079709e+02,1.540550858951847113e+04
0.000000000000000000e+00,6.239514614438591344e+00,3.655473430096165544e+00,1.442022762149081538e+00,2.299796539479643354e+00,4.570774760284753491e+00,4.115401064599343850e-01,4.320730021559764794e-02,6.800483747197494822e+00,1.084378086159709653e+00,2.435692838015105721e+00,8.792136534027173989e-01,1.993558603119354844e+00,1.067245054712030594e+01,9.298619832828248777e-01,2.441391622215387525e+00,7.234861904330910365e-01,3.018616472540292861e+00,1.248274982897849661e+00,2.681601868491203078e+00,1.644952387804016425e+00,1.536690171555786799e+00,1.455478566995463074e+00,3.150180899360437159e-02,1.602601780261322828e+00,4.009507867781675339e-01,3.000000000000000000e+00,4.000000000000000000e+00,5.660660072285613751e+02,1.548656510221298959e+04
0.000000000000000000e+00,8.910412097905552997e+00,5.828683301817321194e+00,3.651721253378758636e+00,2.088459372227967847e+00,6.691014966190214075e+00,2.787665404438990358e+00,4.545476179052405641e+00,1.269709459829550635e+00,6.053722920302063493e+00,9.222809949209109792e-01,3.059228352832024989e+00,6.522798819726368436e+00,9.554693040553372541e+00,5.500099591076239136e+00,2.207457212810813640e+00,1.239817636764898756e+00,1.840859746252185181e+00,1.131240310038680863e-01,2.356120455331543351e+00,1.605517117796947613e+00,9.401273993600982593e+00,7.627221251652479772e+00,3.124279523828070101e-03,5.898668168986714200e+00,1.546079008371330943e+00,1.000000000000000000e+00,2.000000000000000000e+00,3.420052835109598277e+02,1.564604256694320429e+04
0.000000000000000000e+00,1.000653419397578503e+01,5.281895092943633685e+00,5.683185467540008418e+00,2.287847080013509338e+00,1.021515795277842642e+01,6.371557916643696196e+00,9.870883826843495967e+00,1.023112878465855857e+01,7.175693967494208181e+00,7.878347284842017739e-01,6.443613548180357142e+00,2.894457883315172175e+00,9.682347355285065404e+00,4.056166187238207321e+00,1.099932821170853892e+00,7.654836287781089155e+00,2.119359247436403970e-01,3.880952508690685421e-01,1.077159129619753297e-01,2.893016790566750096e+00,1.014434072957480382e+01,1.159788202617378694e+00,1.353499953183030791e-02,7.036532981598125680e+00,2.244757797916120623e+00,2.000000000000000000e+00,4.000000000000000000e+00,8.185896694495005477e+01,1.580060465195193683e+04
0.000000000000000000e+00,8.710792606655486381e+00,9.482231614161063860e+00,6.010557621629698311e+00,2.686981777446369790e+00,7.957365837547365039e+00,5.796532002833902908e+00,1.001018718666702867e+01,8.159896015499540356e-01,6.210515770387720735e+00,6.701700573099061309e+00,3.671083719016090541e+00,5.509653621608131324e+00,6.399442292005426580e+00,4.793241208316676882e+00,8.133493440218281245e-01,9.288407770289802912e+00,1.736745738580978971e-01,2.680382695209426736e-02,3.210851688323633102e+00,8.305059929837256050e+00,6.099446692330849018e+00,8.012973839927514774e+00,2.817839343474285926e-02,5.385129863397107641e+00,3.696444708184748240e+00,1.000000000000000000e+00,5.000000000000000000e+00,4.068749892284441216e+02,1.590974887177968230e+04
0.000000000000000000e+00,1.585030328112446263e+00,2.448989390521536080e+00,1.093803817356587160e+00,7.095074926233476020e+00,9.195032485667645972e+00,4.771842308158726342e-01,9.823809773327841555e+00,6.738824667470108665e+00,2.198414075469614648e+00,3.380354492896794572e+00,5.276374780780846985e-01,2.893441606583443626e+00,2.890700324583626024e+00,8.211928525439722293e+00,4.039192994753682875e+00,6.497209205823095690e-02,4.279029643721928622e+00,5.145345186430293483e-01,2.902380113979990739e+00,9.964454146832320003e-01,6.475100426030130585e+00,5.718273625553763395e+00,6.792020683134433745e-03,1.563263417317140025e+00,1.023385801937819611e-01,5.000000000000000000e+00,4.000000000000000000e+00,5.081625511571601095e+01,1.592654986627007020e+04
0.000000000000000000e+00,7.010779755552441372e+00,8.255427017782565713e+00,9.971058303735349071e+00,9.514668435658244050e+00,4.446139632456588053e+00,2.509731676343482487e+00,5.222727242926258562e+00,8.404598504069802800e+00,7.339487746080304298e+00,1.388044580240456849e+00,9.286720063457165608e+00,6.056975601564512424e+00,8.578420876953471108e+00,1.277808059712784772e+00,9.705264943241454390e+00,6.141439775070057783e-01,2.690734112961114644e+00,2.341792547242327771e+00,1.010397228292747940e+01,3.548092273933399099e+00,2.259397116126669491e+00,4.672136921875592597e-01,1.742868821238780994e-02,1.268876115748847511e+00,7.290199373847887632e-01,2.000000000000000000e+00,3.000000000000000000e+00,6.553024091419032970e+01,1.596500118873646716e+04
0.000000000000000000e+00,4.180526108599766033e+00,8.517344038851820898e+00,9.143427691686367709e+00,8.387767424819397633e+00,9.868808904802668369e-01,1.504688499030251148e+00,6.169692740154176569e+00,4.294578031413175623e+00,9.511396944968595335e+00,3.243719213464944851e+00,1.492287671432789731e+00,4.490913612734073190e+00,5.648576663339395232e+00,2.306894522201815789e+00,8.060397569344941004e+00,6.994613323531532423e+00,2.488381406391579898e+00,1.735834130344911796e-01,8.444278513477330605e+00,7.011384101280898840e+00,5.286775015286764301e+00,1.543367144833254212e+00,4.441839530505722888e-02,4.296034956943871386e+00,2.661726295043923551e-01,3.000000000000000000e+00,4.000000000000000000e+00,5.325842543066848833e+01,1.616973400915356433e+04
