k_b_p3,k_b_p11,k_op_succ,k_pt_lldr,k_pt_gfp,k_f_lldrcomplex,k_d_lldrmRNA,k_d_lldr,k_d_lldrcomplex,k_d_gfpmRNA,k_d_gfp,alpaga_basal,alpaga_act1,alpaga_act2,alpaga_k3,alpaga_k_act1,alpaga_k_act2,copy_nr,mumax,tc,cap,sigma,scale,score
8.657303712389055050e+00,2.275227796527052426e+00,6.783366225712174069e-01,8.956771148416546424e+00,6.023759562302091197e-01,2.999117340068614967e-01,8.136555007036152531e+00,3.789896822464870585e+00,6.211225796594163073e-01,4.635439870445628996e-02,4.080913483568964634e-03,2.054134278242375267e+00,1.126773603327352546e+00,4.615057832816702899e+00,8.479748816984081117e+00,4.196162490543826351e+01,6.790662368750524536e+01,4.982284136533301044e+00,4.836402009105078559e-01,1.045131854621312684e+01,3.003182369999999879e-01,4.246917246974419413e+00,3.237294473440119873e+02,5.666421712657726603e+05
7.044352064034654859e+00,6.102306426827889041e+00,2.915025630939085843e+00,1.025871299561167582e+01,9.957646885927488034e-01,4.350955092878227570e-01,6.504061214559595072e+00,1.402318163342694879e+00,8.552130145606652079e+00,1.317424307944450000e-02,8.910452237318821841e-03,4.992896345407338288e+00,1.919028853697842152e+00,6.626023755858554409e+00,5.358907390702265872e+01,8.322999403259017015e+01,7.663482467930401754e+01,4.509563006218002101e+00,4.691191499999999848e-01,1.106358003661261868e+01,3.003182369999999879e-01,4.210396642540446877e+00,1.672055750224525923e+02,6.340068826664963271e+05
9.136461195170815230e+00,4.768439039144790392e+00,9.645120759556940371e+00,6.200305751845621494e+00,5.666192840109415485e+00,1.595145925159521916e+00,2.045035654709671746e+00,9.468263450496211320e+00,8.531604241560893698e+00,1.514776580929293681e+00,2.447916787085291975e-03,8.203365580111861011e-01,4.255749578086524210e+00,4.231443538989767106e+00,1.841101063592093467e+01,1.519124153386983345e+01,6.963622766614994930e+01,4.940680880430443622e+00,4.691191499999999848e-01,1.099549359404173110e+01,3.003182369999999879e-01,3.849330139756028668e+00,2.595831831987460987e+02,8.751259543475145474e+05
1.052161199334186747e+01,3.503409636570531838e+00,5.321628350635068117e+00,6.123519789464745955e+00,4.598988079538766094e+00,4.957771997038411094e+00,2.220684641947075821e+00,6.785099550547108116e+00,6.229767181710583301e+00,2.190639842339053622e+00,2.669457109974416806e-04,6.810292700438433933e+00,9.055359150114685729e-01,1.076246833453733398e+00,5.583004128508234487e+01,7.374504024198419927e+01,4.162686365777716446e+01,5.433023901941916201e+00,4.691191499999999848e-01,1.106241039362116574e+01,3.165283603427784809e-01,4.034910136463535579e+00,2.340621080291036264e+02,8.907611325639046263e+05
4.843329620240552025e+00,8.768001268285182448e+00,6.310695191791444891e+00,9.753965897350123981e+00,6.056994059404061659e-01,4.873988814859836260e+00,1.258514357467588551e+00,9.406937013826761174e+00,1.145872475221454190e+00,5.977645575595526978e-02,2.611128495318586901e-02,2.521599616865152438e+00,4.750047797569904029e-01,2.215532122034974183e+00,2.947666021839408756e+01,6.614403276446286384e+01,1.982152975447658250e+01,4.995972477013661539e+00,4.691191499999999848e-01,1.051618229894541834e+01,3.003182369999999879e-01,4.163488124249117739e+00,5.263398331151850016e+02,9.465812517330013216e+05
4.510239884556943024e-01,3.792379407757636933e+00,2.637718028714267415e+00,3.339691915566740388e+00,1.756171903692545389e+00,5.814945024557949260e+00,3.941045685392517317e+00,6.938796325487404104e+00,1.568398110921378041e+00,4.358638006505880513e-01,8.020193911991798166e-03,2.378863182871433946e+00,1.211753045174021937e+00,8.153440916839821639e+00,4.654242555423136452e+01,9.493474207900037243e+01,1.215110424917316934e+01,5.008896400414501571e+00,4.691191520766851974e-01,1.044670546586227111e+01,3.003182369999999879e-01,4.249794947318586757e+00,2.132644525682770222e+02,9.580906645055377157e+05
8.479221403365022169e+00,6.840129932713846728e+00,9.584279606711440636e+00,7.427843447639967067e+00,1.403524981348594602e+00,5.230442878595262357e+00,4.157009191952465876e+00,3.103377749806529806e+00,6.232488403484159889e+00,1.288635130985040511e-01,6.283359409774418904e-03,6.290813629560598308e+00,2.794757066906931264e+00,5.289691075531706144e-01,9.188145123908982725e+01,6.131450760011459522e+01,2.070673903244869507e+01,5.171141333179400945e+00,5.192651077653511749e-01,1.076739497845324500e+01,3.003182369999999879e-01,4.096991747525339456e+00,1.598233615636657987e+02,9.876012719297013246e+05
3.879560258094657765e+00,4.017798238077056716e+00,5.535659344584822783e+00,6.715114177120271144e+00,4.009139468067687062e+00,4.408636121393552543e+00,9.608491791582707719e+00,5.556254909177519075e+00,8.755691625385354726e+00,1.204976099284168489e+00,2.493699889330284157e-03,5.632681955697655951e+00,1.870046159914523720e+00,5.004371098904148774e+00,7.616632179463717023e+01,1.975896890100470671e+01,1.390913854724044896e+01,4.800913345021753820e+00,4.691191573887786292e-01,1.083843559321682193e+01,3.003182369999999879e-01,4.074412878636764823e+00,1.560605498208250594e+02,1.030580211649506819e+06
4.434521160797728179e+00,1.580665073790614716e+00,6.557678207154181926e+00,2.120566382207351275e+00,5.807385529574894178e+00,2.790982983060028122e+00,3.973507910895385464e+00,2.564567441909436418e+00,4.293320339076071690e+00,2.215212513478874157e-01,1.663576092868546130e-02,6.234008626986015322e+00,3.567172204866611462e+00,9.533937382955917528e+00,7.465992304992234097e+01,4.126594632469426216e+01,8.695368866750844461e+01,4.867175413956934094e+00,4.691191499999999848e-01,1.069989433352248653e+01,3.003182369999999879e-01,4.374646379342025604e+00,2.356607574110718417e+01,1.044823607793729287e+06
9.080737722297676839e+00,6.358153217249181921e+00,4.891137709622106478e+00,1.073208340945287453e+01,8.025933342510667146e+00,5.364831353042087692e+00,1.051846021416510801e+01,7.210684100475185154e+00,6.273326790453343627e+00,4.311069137523181993e+00,4.242951891349284327e-03,8.521566129811164458e+00,8.668876443229903472e+00,5.247412982600487830e+00,8.072319717837680741e+01,1.641244546086264933e+01,3.026906255300873383e+01,4.500000000000000000e+00,4.921963307413705913e-01,1.142736278839161912e+01,3.003182386900566381e-01,3.859980998832127419e+00,1.939001588027156231e+02,1.050207624561614590e+06
