k_b_p3,k_b_p11,k_op_succ,k_pt_lldr,k_pt_gfp,k_f_lldrcomplex,k_d_lldrmRNA,k_d_lldr,k_d_lldrcomplex,k_d_gfpmRNA,k_d_gfp,alpaga_basal,alpaga_act1,alpaga_act2,alpaga_k3,alpaga_k_act1,alpaga_k_act2,copy_nr,mumax,tc,cap,sigma,scale,score
8.611413467421606072e+00,2.275227796527052426e+00,6.243788443036337732e-01,8.910334989419505192e+00,7.047148632847267669e-01,2.341743285389442097e-01,7.939191438286076874e+00,3.757938120817669425e+00,7.678001292331644301e-01,6.695635352583401145e-02,3.174043820553638581e-03,1.747880009674137369e+00,8.751426618639820409e-01,4.968535629008058230e+00,8.623310490967867281e+00,4.253189824571183664e+01,6.702225718377410146e+01,5.199318800000981788e+00,4.050727384227967298e-01,1.042264447015974937e+01,2.335808509999999782e-01,4.292499220501929003e+00,3.279842490977657690e+02,3.527821039679915411e+05
5.218062343300486461e+00,4.017798238077056716e+00,4.040849661324084963e+00,9.068903518232092509e+00,5.043849320707811223e+00,3.210276643250341788e+00,7.004657907715654552e+00,6.960190317787628089e+00,6.385344183124054496e+00,1.574583637137978442e+00,3.602010749964685947e-03,7.629047411696877390e+00,2.536948874807215315e+00,6.764811607642394087e+00,5.543913747981064688e+01,1.438273298105885623e+01,1.011837457400889839e+01,6.491618130941947840e+00,3.710066504403722876e-01,1.353383223400000013e+01,2.336197729345813601e-01,5.544987552000000264e+00,1.135902666395792551e+02,5.481855496683305828e+05
5.448048121798067633e+00,8.546175947853894783e+00,8.138169946151968759e+00,7.245241432304503348e+00,1.869535445019040010e+00,4.966350979028215207e+00,4.874293612641666051e+00,7.189971241957484160e+00,9.798178940580514862e+00,8.485803866239254034e-02,1.373990377006242478e-02,6.489907666777077644e+00,1.016731375867828274e-01,8.000499634722277875e+00,9.760437231156990379e+01,7.999345859246966484e+01,6.240726473697956322e+01,4.980680688793846400e+00,4.216618388461809697e-01,1.045336347630284024e+01,2.335808509999999782e-01,4.123369567724250118e+00,7.336661662436009124e+01,5.652692111061793985e+05
6.992509385660678589e+00,6.102306426827889041e+00,3.015870545384750301e+00,1.012454353487289183e+01,9.754960696687208221e-01,3.953496329712297142e-01,6.557833808810020315e+00,1.250565853693911711e+00,8.362748533285349950e+00,1.024663366604800820e-02,6.930351740136861047e-03,5.093301397310600720e+00,1.809286467790245823e+00,6.853494600053948282e+00,5.461614240803424991e+01,8.489037509188817410e+01,7.816657382695399292e+01,4.858285878582140782e+00,4.742887296636949523e-01,1.070973072962150141e+01,2.611205993022416849e-01,4.135594417207957285e+00,1.705478203500356358e+02,6.865698907114027534e+05
2.441455432558436112e+00,7.626050595303756729e+00,7.613542521567117305e+00,4.257149507248622733e+00,1.818347578693221500e+00,6.124477010257870724e+00,9.695460696982450832e-01,2.698383769760694939e+00,5.938845139626048208e+00,4.934708361209396155e-01,2.012992687412951988e-03,3.532531718242554852e+00,1.336137153970704317e+00,7.474399328846052626e+00,2.391890696027272867e+01,9.630595304007009361e+01,6.166684850400955753e+01,5.027357684186151587e+00,3.988677763172207569e-01,1.048985866803184841e+01,2.335808509999999782e-01,4.183597102729308403e+00,1.737143205709621725e+02,7.197715017132572830e+05
5.445737961305250785e+00,1.436254349817719156e+00,3.200272242718232185e+00,2.087277037930515000e+00,2.502483415899941832e+00,8.854843876592250140e+00,1.052243343511522378e+00,2.808143616655559338e+00,3.552542362112087293e+00,3.718726441095229207e-01,8.588302768447131363e-03,2.778948583748761969e+00,7.344908008663466603e-01,3.490516757449097618e+00,5.862885039209223237e+01,9.120571416105877915e+01,1.470174378337177323e+01,4.732161604375169084e+00,4.169804061165928721e-01,1.058873676905672490e+01,2.335808509999999782e-01,4.017683410895732443e+00,2.022962730085149019e+02,7.244332218296336941e+05
1.106152328785718453e+00,1.319557210861966645e+00,4.149557319714960890e+00,9.410769490471514231e+00,2.431699375927948159e-01,4.531798853479178213e+00,5.125505086067100535e+00,2.327342732661195068e+00,5.548175461754794036e+00,5.154979955306281114e-02,2.344270322180378938e-02,4.201515973919400793e+00,5.725042937655983044e-01,5.138049472754634195e+00,8.256770511643658494e+01,9.512403667695822662e+01,9.258338537414483937e+01,4.953397936406508606e+00,3.975298088071165248e-01,1.040595756226414537e+01,2.466762964286344784e-01,4.296965339463732825e+00,6.308712884819826741e+02,7.802096420719804009e+05
7.464929549693381183e+00,5.877619268398635022e+00,7.513655932540193483e+00,8.531310393664114144e+00,3.308759153297595179e-01,8.378247366308388067e+00,2.807171934989020290e+00,3.912447759345800691e+00,9.563151073339396291e+00,2.453640783664239322e-01,9.263171753198494191e-04,8.769768127863539320e+00,4.193355575427552218e+00,4.818193538026653400e+00,9.826589729573709064e+01,8.336242614299332843e+01,6.389225576520211547e+01,4.876652638602312351e+00,5.092733129156971073e-01,1.070035272070196086e+01,2.335808509999999782e-01,4.150609305606106858e+00,5.341718504173522888e+02,8.400161851902464405e+05
5.794192791460190506e+00,4.329800504924295801e+00,3.068632931825202359e+00,5.192190543737290831e+00,4.279040690272761793e+00,1.334860659448002140e+00,4.934754355253979874e+00,2.453885388474499329e+00,1.424022175382771982e+00,2.180803712362883839e+00,2.532816881402948257e-03,1.569351540696673375e+00,5.166547094653060945e+00,7.371999032680129460e+00,9.155448176947459160e+01,9.998599531929605178e+01,8.655919251830638927e+01,4.864030213137930048e+00,3.880805545823279856e-01,1.074068171120811144e+01,2.872253144661215396e-01,4.132632259240778261e+00,2.488543464492245789e+02,8.437813138563898392e+05
6.789331272630859893e+00,7.413359316373382413e+00,6.492204545420833917e+00,4.786724211682886754e+00,8.372163408133083351e+00,1.121404637604433763e+00,6.624707168371531729e+00,5.144294565692866250e+00,8.225929962811878937e+00,9.210252734280777176e-01,2.406325674181197371e-03,1.275400390149538543e+00,5.870407991747158549e-01,1.132920012135939070e+00,7.980895260289240412e+01,4.138322707466340233e+01,8.562282211965069223e+01,5.013257100319182591e+00,3.648704499999999573e-01,1.038827197401990432e+01,2.661551066224041584e-01,4.107619770058547282e+00,2.082423949662390612e+02,8.729700939337805612e+05
1.083433164953400407e+01,3.503409636570531838e+00,5.517389372234471345e+00,6.076986923786824590e+00,4.632310220170002601e+00,5.300201931082234807e+00,2.041642408037243506e+00,6.776226689004636761e+00,6.468259229629816254e+00,2.153045084585624380e+00,2.076244418868990638e-04,6.770245395618871065e+00,8.839292187675688028e-01,1.115569189128613470e+00,5.619646081636744128e+01,7.397691122879884063e+01,4.134198238926511237e+01,5.494597506959123301e+00,4.539341706886591554e-01,1.140284757550721650e+01,3.198703151830062374e-01,3.897769872840663563e+00,2.348217075577305764e+02,8.739230766729444731e+05
5.661369553106905705e+00,7.244564972817969739e+00,9.050493152239564409e+00,2.758626979733449502e+00,1.377771865194063139e+00,6.804484265761334250e+00,5.037434225941506138e-01,5.585498280993243192e+00,4.599741309956383084e+00,2.408022852358108423e+00,1.577915031436453097e-03,3.911813021633248622e-01,3.661877594360044785e+00,7.845497844959488987e+00,8.599771278356373116e+00,6.445787337056178501e+01,4.748079464405897454e+01,5.096131721768544232e+00,3.648704499999999573e-01,1.067889760981012337e+01,2.683456575360002039e-01,4.102608729097836360e+00,8.540809083310891765e+02,8.812736907877173508e+05
6.429970599023491218e+00,7.910996389081177860e+00,6.153078222071473924e+00,9.428698302716894020e+00,6.549496588709248224e-01,2.095482473449197691e+00,1.908679008815232780e+00,4.271867640913658448e+00,1.307595408286529315e+00,1.650380748068396519e+00,1.211796138008699531e-03,4.188050404439106700e+00,9.770255866866850880e+00,5.789964400464195471e+00,4.041422353084408314e+01,5.256481063123837316e+01,4.279734460707883414e+01,5.430876743265010909e+00,3.764884873054881176e-01,1.134436459021007337e+01,3.170218294734120645e-01,4.580402592843758391e+00,8.832389497483648029e+02,8.927726756643054541e+05
1.929721737378944590e+00,8.018918019393138863e+00,3.093829244293058722e-01,2.591151766030664216e+00,2.762997813368717193e+00,4.747559474597731644e+00,1.024344506389247123e+00,3.956238965977964206e+00,7.428024295109596054e+00,3.339036392660931440e+00,1.803932701160452677e-03,3.490007919434158001e+00,2.841794122138214362e+00,9.068337523612921558e+00,2.223075325364422739e+01,7.698533248255343153e+01,6.436066644635380385e+01,5.857268656501561921e+00,4.096339894822320638e-01,1.209764617774455253e+01,2.425964664547915761e-01,4.837735212026426090e+00,4.107532056366438837e+02,8.934593236878572498e+05
1.002785191775360651e+01,6.991965342099031311e+00,5.411419461737877690e+00,9.143069036839134966e+00,3.573165232774500488e+00,4.064012191119148909e+00,5.612135641812077580e+00,6.986664092888466016e+00,3.306280116700826444e+00,4.615696516000966199e+00,2.945569008474309674e-03,2.222311682551906808e-01,9.279239401565265055e+00,6.339079709636240345e+00,3.351753643046594533e+01,1.128131511635315221e+01,3.151352866911057760e+01,6.002100495571575323e+00,3.660299505804117670e-01,1.236993603962783794e+01,2.686418911680660826e-01,5.110273263250184606e+00,6.775624576967479697e+02,9.107493328883645590e+05
6.876880209380892950e+00,4.056849888771084878e+00,2.998958572794199640e+00,1.052945726362557544e+01,6.018480354876955651e+00,2.898188508660902496e+00,5.813977706630998554e+00,4.126465899474895060e+00,4.701401148771294558e+00,5.801006522929490039e+00,1.518892412884552054e-03,9.024282053311113216e+00,2.715869022533227373e+00,2.601425222051370501e+00,2.957266729858386967e+01,2.025963322587483617e+01,7.569097425415429825e+01,5.289173123013413580e+00,3.940244107528427797e-01,1.099560018291378860e+01,2.721998741179348369e-01,4.020836563294526655e+00,3.028858048058680197e+02,9.133385235219891183e+05
3.320896474816091626e+00,6.909091269978814509e+00,6.654679313930325968e+00,5.074448931709773625e+00,7.074490838760304712e+00,3.051942532097726257e+00,9.436891701517586384e+00,8.192669139825807800e-01,9.982243863744482582e+00,1.394658371808970010e+00,5.781856796883679201e-04,5.330187089293059621e+00,1.250731021475421922e+00,6.663403434863302444e+00,2.950617934773718432e+01,4.674725045156829850e+01,7.169309172687405862e+01,5.133405705268387464e+00,4.309453862612857011e-01,1.063646069701639263e+01,2.339908693264336204e-01,4.123634432102483593e+00,8.666100232536376780e+01,9.138028682186643127e+05
5.960747400177357491e+00,8.098215587664681081e+00,7.772225469938645048e+00,6.750588867066308119e+00,3.924453971217046977e+00,3.919996585340316031e+00,5.711261965231254401e+00,2.016039951151737952e+00,5.257946395857869604e+00,4.415109922976467351e-03,5.736230462147963276e-03,2.619792094560984719e+00,6.315772885418193816e+00,7.147699765067174305e+00,5.369038613739991206e+01,7.388398576484550517e+01,2.934752866259589510e+01,5.890844868138995771e+00,3.781079148037182480e-01,8.734757606281659648e+00,3.708124241853716918e-01,3.579383042886216781e+00,1.777193156037833432e+01,9.290382775851783808e+05
2.540862779180597664e-01,7.345771830032505889e+00,4.406035488729173721e+00,8.802666986529677828e+00,1.337410081932171035e-01,3.696677019735930547e-01,2.793455337652642090e+00,6.705736507619541875e+00,5.515819918289190937e-01,4.135972129910131523e-02,3.145093042981106368e-02,3.587149481214913838e+00,2.365421452498964516e+00,7.827487303847648015e+00,8.567715740305153815e+01,8.391885614874703947e+01,4.306028373591360747e+01,5.314321463771944032e+00,3.648704501085722751e-01,1.051455477099797164e+01,2.861788587946145768e-01,4.603246005259757467e+00,8.016815582523787498e+02,9.315212802652723622e+05
9.087618993587295080e+00,4.768439039144790392e+00,9.332972997807425841e+00,6.305236435828392771e+00,5.733188000697797548e+00,1.619545190388340883e+00,2.068958743585131987e+00,9.708725620098258347e+00,8.463847134227288294e+00,1.585036604904802582e+00,3.535879803567643868e-03,8.019737698564790573e-01,4.471487151290772566e+00,4.101022678341437633e+00,1.818791393162014103e+01,1.473357576031967575e+01,6.777848872330540075e+01,4.864012205484511853e+00,3.737141864078318276e-01,1.041956521326096841e+01,2.505953400675015597e-01,3.984257594482372600e+00,2.532303407652406690e+02,9.427373706229954259e+05
8.501022450135435449e+00,1.332590819629683399e+00,5.400311140483300854e+00,7.426280604123329354e+00,3.961471888266828500e+00,8.781434156049563455e+00,2.871390532261012929e+00,2.449326250256778970e+00,6.109183933193399696e+00,4.056393856616787197e+00,1.800630122732193444e-03,1.627171501414282018e+00,7.871181569903804576e-01,2.723488581544017073e+00,5.436401937432715492e+00,6.353457389325402715e+01,4.764749661056829666e+01,4.998807877969858815e+00,3.650174719430644976e-01,1.083382648494284162e+01,2.554967050235256165e-01,4.182507364814480155e+00,9.031311118131461626e+02,9.827787481828161981e+05
6.370658036703540361e+00,6.394483101306501105e+00,5.266787053588362966e+00,8.705936434453585449e+00,3.824098917371007711e-01,8.757869923939374246e+00,9.816873182579398005e+00,9.439902881783075017e+00,9.379199738008230369e+00,5.926172161445221465e-02,3.019994808818989018e-02,7.152685286329528047e+00,1.357949321537924359e+00,8.998682855743002307e+00,7.155192311921702242e+01,3.836353905377963969e+01,6.513216278808764059e+01,4.956734594824842688e+00,4.123449201533752606e-01,1.036350282968933101e+01,2.549958460115855363e-01,4.233437077881681887e+00,2.435444513082813955e+02,9.880448676992433611e+05
4.483509189636667003e+00,2.855977621247443476e+00,7.110655573416504005e+00,1.090858367098447967e+00,4.814122168460514217e+00,1.264958714055314903e+00,6.570949413064659517e+00,4.288844381065169742e+00,8.325999323661255502e+00,1.257956372905279396e+00,9.546612688123782674e-05,9.386078094306959940e-01,5.955006596656156059e-01,3.466189022272836429e+00,4.136795564205242925e+01,8.355197816206872119e+01,5.321024830055661425e+01,5.075592867823569776e+00,4.451259689842763101e-01,1.082532113527376794e+01,3.193200878936457987e-01,3.870535966892016955e+00,3.813000259931645246e+02,9.920763145002076635e+05
